"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","4412","kerala-gold-semillas-regulares","Kerala Gold Regular","0","Kerala_Gold_regular_seeds","https://www.aceseeds.org/semillas/kerala-gold-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25987","killer-a5-haze-semillas-feminizadas","Killer A5 Haze Feminizada","1800","Killer_A5_Haze_feminized_seeds","https://www.aceseeds.org/semillas/killer-a5-haze-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","32491","killer-a5-haze-semillas-regulares","Killer A5 Haze Regular","","","https://www.aceseeds.org/semillas/killer-a5-haze-semillas-regulares/","","","2025-10-04T19:36:16"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","4504","kullu-semillas-regulares","Kullu Regular","","","https://www.aceseeds.org/semillas/kullu-semillas-regulares/","","","2025-03-14T17:14:35"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","5620","lao-highland-semillas-regulares","Lao Highland Regular","4800","Lao_Highland_regular_seeds","https://www.aceseeds.org/semillas/lao-highland-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6383","lavenderxerdpurt-semillas-regulares","Lavender x ErdPurt I+D Regular","6500","LavenderxErdPurt_regular_seeds","https://www.aceseeds.org/semillas/lavenderxerdpurt-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6549","lebanonxhokkaidojapanf1-semillas-regulares","Líbano x Hokkaido Japón F1 I+D Regular","","","https://www.aceseeds.org/semillas/lebanonxhokkaidojapanf1-semillas-regulares/","","","2025-10-08T19:34:33"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","3635","libano-semillas-regulares","Líbano Regular","1750","Lebanese_regular_seeds","https://www.aceseeds.org/semillas/libano-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6401","malawipckxerdpurt-semillas-regulares","Malawi / PCK #47 morada x ErdPurt I+D Regular","5000","MalawiPCKxErdPurt_regular_seeds","https://www.aceseeds.org/semillas/malawipckxerdpurt-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6573","malawipckxnewmalawikiller-fem","Malawi / PCK #47 morada x Nueva Malawi asesina I+D Feminizada","5000","MalawiPCKxNewMalawiKiller_feminized_seeds","https://www.aceseeds.org/semillas/malawipckxnewmalawikiller-fem/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25961","malawi-semillas-feminizadas","Malawi Feminizada","1500","Malawi_feminized_seeds","https://www.aceseeds.org/semillas/malawi-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1807","malawi-semillas-regulares","Malawi Regular","4500","Malawi_regular_seeds","https://www.aceseeds.org/semillas/malawi-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","3002","malawixpanama-semillas-feminizadas","Malawi x Panamá Feminizada","","","https://www.aceseeds.org/semillas/malawixpanama-semillas-feminizadas/","","","2025-09-11T21:08:37"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","3887","malawixpanama-semillas-regulares","Malawi x Panamá Regular","3500","malawixpanama_regular_seeds","https://www.aceseeds.org/semillas/malawixpanama-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","26003","malawi-x-pck-semillas-feminizadas","Malawi x PCK Feminizada","","","https://www.aceseeds.org/semillas/malawi-x-pck-semillas-feminizadas/","","","2025-09-03T21:52:37"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","25870","malawi-x-pck-semillas-regulares","Malawi x PCK Regular","","","https://www.aceseeds.org/semillas/malawi-x-pck-semillas-regulares/","","","2025-07-04T18:33:24"
